NAME,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO03671,6623.5,10.15,2.01,38.8,L,6592.8,1,11.74,3.62
ECO03672,6559.6,9.59,1.09,18.9,L,6592.8,0,11.74,3.62
ECO03673,4715.8,10.59,2.21,49.6,E,4754.8,1,11.97,1.02
ECO03674,7292.2,9.79,1.73,21.6,L,7322.9,1,11.4,2.29
ECO03675,4741.4,9.33,0.91,51.8,L,4754.8,0,11.97,1.02
ECO03676,3853.2,10.01,2.3,15.7,E,3853.2,1,11.24,0.16
ECO03677,6072.2,10.25,1.21,33.3,L,6072.2,1,11.59,0.26
ECO03678,4936.2,9.99,1.38,13.3,L,4812.8,0,12.24,0.95
ECO03679,4767.6,10.53,1.84,29.4,L,4812.8,1,12.24,0.89
ECO03680,4734.5,9.89,0.7,42.4,L,4812.8,0,12.24,0.97
ECO03681,5748.7,10.11,2.39,20.4,L,5688.0,1,11.3,0.31
ECO03682,6964.9,10.91,1.27,46.6,L,6998.3,1,12.86,0.85
ECO03683,4906.9,10.09,1.2,47.4,L,4906.9,1,11.56,0.63
ECO03684,6660.2,10.35,2.26,22.0,L,6660.2,1,11.61,2.74
ECO03685,6484.5,10.59,2.11,24.4,L,6484.5,1,11.93,0.54
ECO03686,7201.2,9.33,0.95,26.0,L,7195.9,0,11.46,0.93
ECO03687,7190.5,9.07,1.02,36.4,L,7195.9,1,11.46,0.93
ECO03688,7021.3,10.55,1.95,27.5,L,6918.5,1,11.98,1.52
ECO03689,7237.0,11.03,2.31,54.7,E,7160.0,1,12.74,0.9
ECO03690,7173.2,10.67,2.37,22.4,E,7160.0,0,12.74,0.97
ECO03691,6049.1,10.77,2.13,121.8,L,6780.8,0,13.89,6.0
ECO03692,3787.0,9.05,0.83,44.6,L,3787.0,1,11.19,0.16
ECO03693,7017.9,10.93,2.0,53.0,L,7017.9,1,12.83,0.56
ECO03694,4556.2,10.17,2.23,27.1,L,4556.2,1,11.41,0.33
ECO03695,6513.9,10.71,1.63,31.9,L,6513.9,1,11.96,0.94
ECO03696,6975.7,10.13,0.88,15.1,L,6975.7,1,11.66,0.59
ECO03697,6954.0,11.09,2.11,86.6,L,6991.4,1,12.67,0.78
ECO03698,6810.0,11.05,2.27,33.0,E,6810.0,1,12.51,1.71
ECO03699,6699.0,10.67,2.12,47.8,E,6569.5,1,11.93,1.18
ECO03700,6988.6,9.79,0.84,33.2,L,6988.6,1,11.5,1.93
ECO03701,7278.6,10.51,2.05,24.8,E,7347.3,1,12.28,1.21
ECO03702,7186.0,10.29,1.06,22.8,L,7186.0,1,11.85,0.22
ECO03703,6857.8,11.77,2.14,185.4,L,6780.8,1,13.89,6.2
ECO03704,6370.3,10.71,1.9,32.9,L,6370.3,1,11.98,0.25
ECO03705,6643.0,10.79,2.19,111.2,L,6593.1,0,13.11,1.1
ECO03706,6544.5,10.85,1.58,51.7,L,6593.1,0,13.11,1.07
ECO03707,4825.4,9.79,1.06,34.5,L,4825.4,1,11.38,0.46
