NAME,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO00001,6454.9,10.73,1.48,33.7,L,6454.9,1,12.17,0.54
ECO00002,4338.9,9.37,1.06,17.3,L,4293.3,1,11.21,0.65
ECO00003,5443.5,8.19,0.87,21.6,L,5425.4,0,11.14,1.03
ECO00004,6374.6,8.45,0.88,10.0,L,6374.6,1,10.77,0.31
ECO00005,5713.0,8.79,1.4,7.7,E,5713.0,1,10.77,0.64
ECO00006,6962.2,8.31,0.95,9.9,L,6962.2,1,10.77,0.37
ECO00007,5230.4,8.39,1.2,17.8,L,5230.4,1,10.76,1.52
ECO00008,4580.1,8.43,0.95,21.5,L,4580.1,1,10.76,0.32
ECO00009,6383.6,8.57,1.22,9.9,L,6383.6,1,10.75,0.41
ECO00010,4580.4,8.51,1.09,17.4,L,4580.4,1,10.78,0.2
ECO00011,5824.9,9.09,1.2,30.0,L,5824.9,1,10.85,0.22
ECO00012,6141.2,8.69,1.27,18.9,L,6163.8,0,11.14,0.43
ECO00013,6613.3,8.53,0.82,16.4,L,6613.3,1,10.78,0.72
ECO00014,6425.6,8.61,0.9,21.7,L,6425.6,1,10.78,0.9
ECO00015,6651.7,8.55,0.97,15.7,L,6651.7,1,10.77,0.95
ECO00016,5850.1,8.65,1.38,7.9,E,5803.2,0,11.24,0.78
ECO00017,6137.8,8.39,0.7,10.4,L,6137.8,1,10.77,0.37
ECO00018,6132.3,8.65,0.85,15.0,L,6132.3,1,10.78,0.34
ECO00019,4105.3,8.65,1.21,39.4,L,4105.3,1,10.81,0.78
ECO00020,4345.7,8.23,0.75,9.0,E,4345.7,1,10.76,0.16
ECO00021,6250.7,8.63,1.6,12.1,L,6288.2,0,12.89,2.57
ECO00022,6083.2,8.65,1.07,17.2,L,6083.2,1,10.76,1.85
ECO00023,5906.5,8.39,1.23,11.6,L,5906.5,1,10.76,1.45
ECO00024,6376.0,8.67,1.26,23.8,L,6376.0,1,10.82,1.83
ECO00025,3051.6,8.65,0.83,49.5,L,3051.6,1,10.85,0.5
ECO00026,6110.2,8.85,1.15,20.2,E,6589.0,0,14.45,13.16
ECO00027,4423.7,8.41,0.76,8.6,E,4423.7,1,10.75,0.29
ECO00028,6888.4,8.23,1.08,9.2,L,6888.4,1,10.76,0.45
ECO00029,6442.1,8.25,0.7,7.1,L,6406.9,0,10.9,0.58
ECO00030,6915.2,8.35,0.86,5.6,L,6915.2,1,10.77,0.77
ECO00031,6839.0,8.49,1.13,17.9,L,6839.0,1,10.9,4.65
ECO00032,6528.1,8.49,1.02,13.8,L,6528.1,1,10.77,0.89
ECO00033,6757.5,8.69,1.05,22.5,L,6787.3,0,12.13,4.75
ECO00034,6789.8,8.31,0.81,6.9,L,6669.0,0,11.11,0.98
ECO00035,3379.1,8.47,0.77,9.7,L,3379.1,1,10.78,0.22
ECO00036,4599.4,8.31,0.85,18.7,L,4599.4,1,10.76,0.85
ECO00037,4199.6,8.25,0.77,10.2,E,4199.6,1,10.75,0.77
ECO00038,5710.7,8.47,1.08,13.8,L,5710.7,1,10.76,0.42
ECO00039,5533.4,8.35,0.96,22.2,L,5533.4,1,10.81,0.16
ECO00040,5067.3,8.35,1.04,24.4,L,5067.3,1,10.81,0.8
ECO00041,6395.9,8.75,1.35,15.8,L,6395.9,1,10.81,0.37
ECO00042,6532.7,8.47,1.31,17.2,L,6532.7,1,10.77,1.56
ECO00043,6014.8,8.63,1.29,27.0,L,6014.8,1,10.83,0.71
ECO00044,5802.6,8.51,0.69,18.5,L,5859.9,0,11.07,0.84
ECO00045,6382.4,8.47,1.0,12.7,L,6382.4,1,10.74,0.26
ECO00046,6842.3,9.07,1.6,23.7,L,6589.0,0,14.45,16.73
ECO00047,6355.4,8.51,1.2,30.9,L,6355.4,1,10.83,1.35
ECO00048,5530.5,8.53,0.99,11.3,L,5530.5,1,10.78,0.83
ECO00049,4661.0,8.51,1.18,25.5,L,4661.0,1,10.77,0.2
ECO00050,6843.5,8.55,1.07,13.7,L,6798.5,0,11.33,4.46
ECO00051,6812.4,8.49,0.68,14.0,L,6812.4,1,10.79,0.55
ECO00052,6853.7,8.61,0.93,13.5,L,6853.7,1,10.78,0.44
ECO00053,6208.7,8.69,1.84,15.1,L,6208.7,1,10.78,0.52
ECO00054,6810.3,8.27,0.96,13.0,L,6810.3,1,10.77,0.82
ECO00055,5295.7,8.59,0.81,19.2,L,5295.7,1,10.78,0.16
ECO00056,5914.2,8.91,1.63,9.5,E,6017.0,0,12.08,3.21
ECO00057,6759.1,8.35,0.87,22.2,L,6712.5,0,11.03,1.37
ECO00058,6295.6,8.51,0.83,17.5,L,6295.6,1,10.78,0.3
ECO00059,3065.7,8.67,0.9,41.0,L,3090.3,0,11.03,0.79
ECO00060,6089.2,8.31,0.94,11.9,L,6089.2,1,10.79,0.6
ECO00061,6585.9,8.33,0.91,16.0,L,6585.9,1,10.78,0.61
ECO00062,6627.1,8.43,1.12,9.4,L,6627.1,1,10.77,0.6
ECO00063,6424.8,8.51,0.71,4.5,E,6424.8,1,10.75,0.49
ECO00064,6108.6,8.75,1.7,4.7,E,6108.6,1,10.78,0.46
ECO00065,5704.5,9.09,2.18,8.9,E,6589.0,0,14.45,18.16
ECO00066,6310.9,9.31,2.4,6.5,E,6085.3,0,13.42,3.32
ECO00067,6221.7,8.41,0.89,21.2,L,6221.7,1,10.75,1.29
ECO00068,6163.3,8.59,1.24,9.7,L,6163.3,1,10.75,0.52
ECO00069,6262.9,8.47,0.76,13.9,L,6262.9,1,10.77,2.94
ECO00070,6515.0,8.41,0.98,9.3,L,6501.9,0,11.28,1.34
ECO00071,6188.1,8.85,1.08,11.2,E,6286.9,0,11.86,2.16
ECO00072,6668.4,8.51,0.67,14.1,L,6668.4,1,10.75,0.33
ECO00073,6716.5,8.45,0.79,13.5,L,6716.5,1,10.78,0.38
ECO00074,5248.0,9.01,2.08,10.8,E,5248.0,1,10.75,0.66
ECO00075,6956.5,8.89,1.8,10.7,E,6956.5,1,10.76,1.56
ECO00076,6866.2,8.53,0.76,11.3,L,6833.7,0,12.6,2.6
ECO00077,6810.5,8.57,0.84,5.3,E,6831.0,0,11.65,2.73
ECO00078,6847.6,8.61,0.95,5.5,E,6847.6,1,10.76,2.62
ECO00079,6883.3,8.69,1.61,10.6,L,6883.3,1,10.76,2.32
ECO00080,6605.8,8.67,1.17,19.8,L,6605.8,1,10.79,4.05
ECO00081,6718.8,8.87,1.56,9.0,E,6814.2,0,10.92,1.51
ECO00082,6909.6,8.71,0.57,13.9,L,6814.2,1,10.92,1.43
ECO00083,6021.3,8.81,0.91,4.4,E,6021.3,1,10.77,0.53
ECO00084,6704.1,8.71,1.64,12.1,L,6704.1,1,10.8,13.47
ECO00085,6923.7,8.67,1.09,6.2,E,6923.7,1,10.76,1.83
ECO00086,3998.9,8.91,0.93,26.0,L,3991.8,1,10.97,0.43
ECO00087,6414.1,8.51,1.26,8.4,L,6447.8,0,12.58,1.27
ECO00088,6630.9,8.37,0.93,8.3,L,6630.9,1,10.77,1.02
ECO00089,6940.8,8.55,1.24,7.6,L,6940.8,1,10.75,1.79
ECO00090,6791.4,8.93,1.92,10.1,L,6889.1,0,12.45,1.89
ECO00091,6745.2,8.71,1.19,21.3,L,6745.2,1,10.86,0.72
ECO00092,6884.5,8.51,1.34,5.7,E,6884.5,1,10.76,1.81
ECO00093,6774.4,8.69,1.43,10.0,L,6774.4,1,10.81,1.82
ECO00094,2745.8,8.39,0.86,15.1,L,2745.8,1,10.78,0.39
ECO00095,5386.5,8.65,1.18,13.1,L,5386.5,1,10.75,0.74
ECO00096,6734.1,9.01,2.04,10.2,E,7017.2,0,13.48,3.27
ECO00097,4659.2,8.33,0.82,6.7,E,4640.8,0,11.4,0.96
ECO00098,6741.5,8.43,0.79,5.6,E,6741.5,1,10.77,0.3
ECO00099,6539.1,8.55,0.73,4.0,E,6539.1,1,10.75,0.46
ECO00100,6374.4,8.63,1.47,6.7,L,6374.4,1,10.76,0.8
ECO00101,3770.5,8.57,1.32,8.3,E,3770.5,1,10.74,0.17
ECO00102,5802.3,9.03,0.82,13.0,L,5802.3,1,11.02,0.21
ECO00103,5585.3,8.37,0.61,16.8,L,5435.0,0,11.76,1.0
ECO00104,4076.5,8.41,1.03,21.1,L,4076.5,1,10.76,0.49
ECO00105,4432.3,8.85,0.91,11.2,L,4472.8,0,12.13,1.88
ECO00106,6666.2,8.45,0.96,15.3,L,6628.6,0,11.23,0.74
ECO00107,6919.8,8.65,1.59,14.7,L,6987.5,0,12.93,0.88
ECO00108,6174.9,8.69,0.71,18.0,L,6185.7,0,11.04,2.29
ECO00109,6487.9,8.93,1.08,13.6,L,6510.8,0,11.81,1.07
ECO00110,6850.6,8.93,2.06,5.2,E,6850.6,1,10.75,4.73
ECO00111,6177.0,8.31,0.64,24.6,L,6177.0,1,10.79,0.5
ECO00112,6873.4,8.47,0.81,8.2,E,6873.4,1,10.75,2.57
ECO00113,6023.2,8.87,0.76,23.1,L,6023.2,1,10.86,0.52
ECO00114,6356.7,8.39,1.1,21.5,L,6356.7,1,10.77,1.6
ECO00115,6240.8,8.65,1.31,14.5,L,6176.8,0,12.44,1.4
ECO00116,6751.3,8.67,1.31,16.8,L,6703.4,0,12.07,1.69
ECO00117,5651.8,9.63,1.94,25.9,L,5615.2,0,11.78,0.56
ECO00118,6475.7,8.67,1.0,21.7,L,6475.7,1,10.81,0.76
ECO00119,2945.5,8.55,1.12,25.0,L,2945.5,1,10.76,0.81
ECO00120,5708.7,8.43,0.91,8.5,L,5708.7,1,10.76,0.17
ECO00121,6107.3,8.51,1.13,21.4,L,6132.6,0,10.93,0.44
ECO00122,6929.3,8.79,1.72,17.3,L,6929.3,1,10.77,1.41
ECO00123,6846.4,8.95,1.71,15.1,L,6815.7,0,13.03,2.08
ECO00124,5522.4,8.75,0.92,10.0,L,5522.4,1,10.88,0.18
ECO00125,4871.3,8.37,1.0,21.1,L,4871.3,1,10.75,0.91
ECO00126,5844.0,8.67,1.76,12.9,L,6085.3,0,13.42,2.09
ECO00127,6887.0,9.07,0.57,17.9,L,6883.3,0,11.26,2.64
ECO00128,6459.1,8.57,1.56,14.3,L,6459.1,1,10.78,0.82
ECO00129,6849.7,8.69,1.8,16.6,L,6849.7,1,10.81,4.15
ECO00130,6387.2,8.41,1.06,20.1,L,6387.2,1,10.82,0.51
ECO00131,6918.4,8.75,1.13,17.1,L,6918.4,1,10.81,2.91
ECO00132,6419.5,9.15,2.26,5.6,E,6589.0,0,14.45,27.16
ECO00133,6937.0,9.17,1.7,17.2,L,6589.0,0,14.45,26.38
ECO00134,6479.8,8.99,2.02,10.7,E,6479.8,1,10.77,16.47
ECO00135,5125.0,8.63,1.16,5.8,E,5125.0,1,10.76,0.15
ECO00136,2633.0,8.71,1.41,39.7,L,2633.0,1,10.75,0.37
ECO00137,5549.7,8.47,0.79,6.4,E,5549.7,1,10.76,0.32
ECO00138,5835.0,8.17,1.07,20.0,L,5913.1,0,11.4,1.58
ECO00139,6865.4,8.39,1.14,6.8,E,6865.4,1,10.77,0.29
ECO00140,5617.4,8.35,1.05,25.1,L,5617.4,1,10.8,0.32
ECO00141,6170.1,8.59,1.05,9.8,E,6170.1,1,10.75,1.03
ECO00142,6174.4,8.43,0.71,14.6,L,6174.4,1,10.75,1.07
ECO00143,6703.9,9.15,1.95,11.7,L,6854.7,0,11.68,1.81
ECO00144,6591.8,8.33,1.18,17.7,L,6542.4,0,11.22,0.71
ECO00145,6279.6,8.31,0.97,18.2,L,6279.6,1,10.76,0.4
ECO00146,6339.7,8.79,1.55,8.9,E,6332.9,0,11.16,1.02
ECO00147,3565.8,8.45,0.82,14.4,L,3565.8,1,10.76,0.21
ECO00148,6965.0,8.63,1.66,8.6,L,6965.0,1,10.75,1.57
ECO00149,6992.5,8.55,1.2,17.3,L,6992.0,1,10.91,2.81
ECO00150,6788.3,8.57,1.16,10.2,L,6788.3,1,10.78,0.25
ECO00151,6913.3,8.47,1.06,14.1,L,6951.9,0,11.11,1.83
ECO00152,3320.9,8.45,0.82,12.1,L,3320.9,1,10.77,0.16
ECO00153,6574.3,8.33,0.85,7.7,L,6574.3,1,10.77,0.54
ECO00154,4907.0,8.55,1.15,13.2,L,4887.4,0,11.18,0.45
ECO00155,6962.1,8.67,1.31,5.5,E,6962.1,1,10.77,1.71
ECO00156,6956.8,8.27,1.1,15.1,L,6923.7,0,11.12,0.32
ECO00157,5915.5,8.77,1.18,28.8,L,5915.5,1,10.83,0.23
ECO00158,5682.9,8.77,1.0,10.2,E,5614.5,0,11.52,0.37
ECO00159,5052.0,8.35,0.88,12.2,L,5052.0,1,10.75,0.89
ECO00160,6134.5,8.49,1.27,4.4,E,6134.5,1,10.77,0.72
ECO00161,5991.7,8.41,0.91,20.1,L,5991.7,1,10.82,0.5
ECO00162,6643.2,8.45,0.9,7.2,L,6680.6,0,11.73,1.04
ECO00163,6584.3,8.19,0.64,5.1,L,6584.3,1,10.77,0.7
ECO00164,6100.1,8.67,1.03,10.7,L,6030.8,0,11.65,0.76
ECO00165,6536.4,8.43,0.96,12.4,L,6536.4,1,10.8,0.3
ECO00166,6868.5,8.35,0.97,15.5,L,6868.5,1,10.77,0.27
ECO00167,5425.0,8.59,1.22,9.1,L,5461.0,0,11.07,0.37
ECO00168,6635.5,9.13,2.24,7.0,L,6628.9,1,13.01,2.79
ECO00169,6612.9,8.57,0.64,19.8,L,6612.9,1,10.86,6.22
ECO00170,6534.8,8.69,1.94,14.2,L,6499.4,0,10.93,18.28
ECO00171,6834.4,9.29,0.98,18.5,L,6883.3,0,11.26,2.51
ECO00172,6847.5,8.51,1.02,13.9,L,6961.3,0,10.95,2.91
ECO00173,5472.0,8.39,1.03,7.6,L,5447.5,0,11.1,1.83
ECO00174,3339.3,8.69,1.15,22.8,L,3339.3,1,10.76,0.46
ECO00175,6807.8,8.49,1.15,13.5,L,6807.8,1,10.78,0.53
ECO00176,5530.9,8.33,1.21,18.2,L,5530.9,1,10.76,0.3
ECO00177,6842.7,8.45,1.37,8.4,L,6842.7,1,10.75,0.9
ECO00178,6461.3,8.55,0.89,13.9,L,6455.8,0,12.07,0.36
ECO00179,5108.1,8.53,1.4,9.1,E,5108.1,1,10.77,0.44
ECO00180,5335.1,8.35,0.76,14.7,L,5335.1,1,10.78,0.2
ECO00181,2650.3,8.35,0.81,36.2,L,2650.3,1,10.82,0.91
ECO00182,5527.3,8.59,0.66,21.3,L,5527.3,1,10.84,0.24
ECO00183,6423.9,8.59,0.81,20.4,L,6423.9,1,10.78,0.29
ECO00184,5396.2,8.47,1.41,16.8,L,5396.2,1,10.75,0.84
ECO00185,5637.8,8.65,0.67,24.6,L,5941.5,0,13.7,3.57
ECO00186,4553.9,8.37,1.07,16.5,L,4553.9,1,10.78,0.89
ECO00187,5832.3,8.35,0.99,16.0,L,5832.3,1,10.76,0.2
ECO00188,6456.4,8.69,1.05,11.7,L,6456.4,1,10.79,0.48
ECO00189,4477.5,8.47,0.88,16.1,L,4477.5,1,10.75,0.6
ECO00190,5168.4,8.35,0.83,8.1,L,5168.4,1,10.75,0.28
ECO00191,3938.0,8.33,0.81,27.7,L,3938.0,1,10.76,0.34
ECO00192,6975.7,8.31,0.94,7.0,L,6975.7,1,10.77,0.59
ECO00193,4972.2,8.79,1.08,14.6,E,4972.2,1,10.88,0.33
ECO00194,6362.8,8.13,0.57,12.1,L,6362.8,1,10.76,0.19
ECO00195,6839.1,8.51,1.18,11.1,L,6839.1,1,10.74,0.5
ECO00196,6904.9,8.65,0.72,16.1,L,6900.2,0,11.35,0.39
ECO00197,5459.6,8.27,1.07,9.0,L,5415.3,0,11.33,0.52
ECO00198,5577.6,8.81,1.55,14.9,E,5589.3,0,11.83,0.57
ECO00199,4502.9,8.43,0.73,17.6,L,4502.9,1,10.78,0.18
ECO00200,4953.8,8.25,1.18,13.9,L,4852.4,0,11.91,0.95
ECO00201,3601.8,8.71,1.22,17.7,L,3601.8,1,10.75,0.51
ECO00202,5986.3,8.55,1.12,16.4,L,6361.0,0,13.47,4.29
ECO00203,6501.1,8.75,0.76,20.6,L,6501.1,1,10.84,2.07
ECO00204,6623.2,8.45,0.83,15.0,L,6623.2,1,10.75,0.41
ECO00205,6404.2,8.57,1.49,13.2,L,6393.2,0,11.11,0.86
ECO00206,6758.8,8.65,1.69,6.9,E,6758.8,1,10.76,1.9
ECO00207,3658.7,8.31,0.77,8.3,E,3658.7,1,10.75,0.16
ECO00208,6816.4,8.99,1.83,12.8,L,6819.4,0,11.84,1.17
ECO00209,6415.5,8.63,1.33,28.8,L,6415.5,1,10.83,0.71
ECO00210,4754.0,8.57,1.0,15.0,L,4754.0,1,10.76,0.15
ECO00211,4352.5,8.53,0.89,9.2,L,4352.5,1,10.76,0.31
ECO00212,6602.4,8.37,0.7,14.8,L,6602.4,1,10.76,0.24
ECO00213,6884.8,8.41,1.1,8.6,L,6900.0,0,11.17,1.54
ECO00214,6566.4,8.59,0.63,25.8,L,6566.4,1,10.81,1.26
ECO00215,6431.0,8.37,1.04,10.7,L,6431.0,1,10.81,0.65
ECO00216,5809.9,8.51,0.71,15.0,L,5809.9,1,10.78,0.22
ECO00217,6769.9,8.67,1.25,19.2,L,6819.4,0,11.84,1.19
ECO00218,6813.9,8.75,1.87,8.3,L,6752.5,0,12.6,1.51
ECO00219,6720.1,8.51,1.2,8.1,L,6720.1,1,10.75,0.94
ECO00220,6550.0,8.89,1.62,16.8,L,6550.0,1,10.82,0.74
ECO00221,2900.6,8.25,0.87,20.4,L,2900.6,1,10.78,0.19
ECO00222,6637.0,8.41,0.94,7.2,L,6713.3,0,11.45,1.19
ECO00223,6526.1,8.57,1.29,12.6,L,6526.1,1,10.77,0.57
ECO00224,2909.6,8.75,1.83,30.5,E,2909.6,1,10.83,0.48
ECO00225,6237.4,8.67,1.51,11.0,L,6237.4,1,10.79,0.8
ECO00226,5959.6,8.85,1.96,5.3,E,5959.6,1,10.75,0.26
ECO00227,6805.8,8.81,1.61,22.1,L,6805.8,1,10.8,0.32
ECO00228,6188.0,8.47,0.84,9.0,L,6188.0,1,10.76,1.15
ECO00229,6691.4,8.41,0.94,15.3,L,6655.0,0,11.64,1.59
ECO00230,6088.1,10.93,2.42,58.4,L,6088.1,1,12.02,0.78
ECO00231,6273.0,10.31,1.22,19.6,L,6247.7,1,12.01,1.51
ECO00232,4180.9,9.59,1.08,18.1,L,4180.9,1,11.18,0.64
ECO00233,5481.5,8.41,0.72,11.2,L,5481.5,1,10.79,0.2
ECO00234,4394.4,8.55,1.06,28.9,L,4394.4,1,10.83,0.52
ECO00235,5921.4,8.71,0.83,11.1,L,5921.4,1,10.82,1.65
ECO00236,4737.1,8.65,0.74,41.8,L,4720.4,0,13.05,3.43
ECO00237,4445.8,8.19,0.86,9.6,L,4445.8,1,10.78,0.45
ECO00238,4381.5,8.39,1.24,20.4,L,4381.5,1,10.77,0.21
ECO00239,3007.0,8.61,0.77,26.2,L,3007.0,1,10.84,0.26
ECO00240,3241.1,8.39,0.94,16.0,L,3241.1,1,10.77,2.92
ECO00241,3724.2,8.39,1.33,13.5,E,3724.2,1,10.76,0.23
ECO00242,4841.7,8.55,0.61,18.6,L,4841.7,1,10.98,0.5
ECO00243,3029.0,8.33,1.01,19.5,L,3054.4,0,11.76,1.85
ECO00244,5288.3,8.83,2.05,8.2,E,5288.3,1,10.76,1.02
ECO00245,4442.5,8.03,0.61,5.1,E,4442.5,1,10.75,0.33
ECO00246,3185.0,8.63,0.71,34.6,L,3185.0,1,10.86,0.3
ECO00247,4365.1,8.55,0.8,7.7,E,4365.1,1,10.77,0.3
ECO00248,3328.8,8.51,0.88,17.3,L,3328.8,1,10.77,0.64
ECO00249,2880.4,8.63,1.12,66.8,L,2880.4,1,11.01,0.16
ECO00250,2992.4,8.43,0.83,28.1,L,2992.4,1,10.77,1.06
ECO00251,6817.4,8.63,1.26,10.0,L,6853.9,0,11.58,0.59
ECO00252,4640.6,8.73,0.9,10.3,E,4640.6,1,10.79,0.67
ECO00253,4919.5,8.23,0.6,9.8,L,4839.2,0,12.63,1.51
ECO00254,4461.8,8.09,0.63,7.3,E,4461.8,1,10.76,0.57
ECO00255,3441.1,8.41,0.88,15.4,E,3527.6,0,11.45,1.12
ECO00256,5547.7,8.55,1.07,21.4,L,5520.0,0,11.3,0.96
ECO00257,5729.6,8.37,0.61,13.3,L,5745.0,0,11.11,1.76
ECO00258,6876.6,8.67,1.26,11.2,L,6876.6,1,10.75,0.94
ECO00259,4066.7,8.33,1.03,11.6,L,4066.7,1,10.78,0.43
ECO00260,3173.1,8.41,1.26,10.4,E,3173.1,1,10.76,0.3
ECO00261,4391.6,8.63,0.88,11.0,E,4391.6,1,10.78,0.3
ECO00262,6072.1,10.33,1.41,15.7,L,5937.6,1,11.69,3.54
ECO00263,6211.5,8.59,1.49,11.2,L,6290.9,0,11.73,2.26
ECO00264,4261.2,8.51,1.46,29.8,L,4208.8,0,11.63,0.84
ECO00265,4246.9,8.63,0.87,23.2,L,4236.1,0,11.44,1.22
ECO00266,5352.7,8.65,1.14,15.4,L,5322.6,0,12.89,1.73
ECO00267,4321.6,8.71,0.74,23.1,L,4321.6,1,10.8,0.17
ECO00268,4950.7,8.63,0.9,22.8,L,4950.7,1,10.8,0.42
ECO00269,4864.1,8.45,0.87,16.6,L,4931.1,0,11.16,0.44
ECO00270,5440.1,8.67,1.21,9.9,L,5421.8,0,12.73,1.4
ECO00271,3636.6,8.55,1.09,9.0,E,3636.6,1,10.79,0.54
ECO00272,4704.3,8.63,1.1,7.4,E,4672.7,0,11.12,0.51
ECO00273,5031.4,8.59,0.83,34.6,L,5031.4,1,10.81,0.49
ECO00274,3090.2,8.45,1.02,15.4,L,3090.2,1,10.77,0.19
ECO00275,4313.4,8.63,1.33,9.9,E,4313.4,1,10.76,0.3
ECO00276,6074.0,8.51,0.83,10.9,L,6074.0,1,10.76,0.8
ECO00277,5885.2,8.75,1.76,19.2,L,5885.2,1,10.81,2.49
ECO00278,5993.4,8.47,1.32,11.2,E,5978.2,0,11.05,3.2
ECO00279,6980.9,8.89,1.9,8.1,E,7164.0,0,12.71,1.72
ECO00280,6257.2,8.47,1.22,10.9,L,6257.2,1,10.75,1.52
ECO00281,6747.8,8.33,0.9,6.7,L,6747.8,1,10.75,0.16
ECO00282,6492.5,8.53,1.05,8.3,L,6492.5,1,10.76,0.51
ECO00283,6896.8,8.79,1.72,11.0,L,6899.8,0,10.94,1.38
ECO00284,6153.6,8.49,1.15,11.6,L,6072.2,0,11.36,3.39
ECO00285,6215.3,8.69,1.07,5.5,E,6234.4,0,11.1,0.88
ECO00286,5409.3,8.43,0.94,15.8,L,5409.3,1,10.76,0.86
ECO00287,5241.2,8.71,1.79,13.0,L,5241.2,1,10.76,0.36
ECO00288,4931.4,8.45,1.13,8.0,E,4931.4,1,10.74,0.18
ECO00289,5125.9,8.51,1.04,17.0,L,5125.9,1,10.79,0.26
ECO00290,5720.3,9.09,2.2,7.8,E,5993.4,0,13.95,7.47
ECO00291,5555.4,9.05,2.08,10.4,E,5993.4,0,13.95,7.47
ECO00292,5504.8,8.81,1.79,12.4,L,5993.4,0,13.95,7.42
ECO00293,4970.0,8.95,1.97,10.6,E,4894.3,0,11.61,0.74
ECO00294,5937.6,9.25,2.19,17.7,L,6048.9,0,11.11,4.65
ECO00295,6125.8,8.53,0.85,8.0,L,6125.8,1,10.75,4.24
ECO00296,6480.3,8.41,0.76,8.8,L,6480.3,1,10.77,0.4
ECO00297,5024.4,8.47,1.01,20.5,L,5024.4,1,10.85,0.16
ECO00298,3302.4,8.43,1.48,21.7,E,3302.4,1,10.76,0.19
ECO00299,6183.5,8.29,0.95,9.6,L,6183.5,1,10.77,0.17
ECO00300,6750.1,8.49,0.62,20.6,L,6750.1,1,10.92,1.25
ECO00301,3538.2,8.83,1.71,22.9,L,3640.7,0,13.06,1.45
ECO00302,4792.6,8.55,1.09,10.5,L,4792.6,1,10.77,0.47
ECO00303,5442.3,8.55,1.4,14.3,L,5452.7,0,11.29,0.4
ECO00304,4327.1,8.51,0.78,21.0,L,4329.1,0,11.0,0.92
ECO00305,3595.1,8.53,0.95,22.1,L,3595.1,1,10.76,0.44
ECO00306,6012.1,8.55,1.07,6.5,L,6012.1,1,10.76,0.51
ECO00307,4266.7,8.69,0.9,25.6,L,4266.7,1,10.78,1.11
ECO00308,4004.2,8.85,1.48,28.7,L,4004.2,1,10.82,0.96
ECO00309,6214.5,8.63,1.6,7.1,E,6214.5,1,10.76,0.27
ECO00310,5875.7,8.47,0.78,8.3,L,5875.7,1,10.77,0.41
ECO00311,6094.9,8.49,1.02,14.0,L,6094.9,1,10.78,0.75
ECO00312,6689.1,8.43,1.12,14.9,L,6689.1,1,10.77,0.26
ECO00313,5832.7,8.43,1.14,15.1,L,5832.7,1,10.75,0.45
ECO00314,4315.5,8.61,0.91,8.8,E,4290.5,0,11.32,1.54
ECO00315,3576.1,8.45,0.74,15.4,L,3576.1,1,10.78,0.72
ECO00316,6047.9,8.89,1.68,32.0,L,6047.9,1,10.84,0.63
ECO00317,4172.8,9.03,2.03,14.0,E,4075.0,0,11.7,2.58
ECO00318,4472.2,8.57,0.84,14.9,L,4472.2,1,10.78,0.36
ECO00319,4293.7,8.53,1.17,19.0,L,4293.7,1,10.75,0.36
ECO00320,6252.4,8.69,1.19,8.5,L,6252.4,1,10.81,0.82
ECO00321,5406.3,8.87,0.89,19.4,L,5406.3,1,10.84,0.22
ECO00322,4997.4,8.23,0.67,8.9,L,4968.8,0,11.38,0.62
ECO00323,3742.4,8.41,0.8,7.4,E,3742.4,1,10.75,0.19
ECO00324,6299.0,8.47,1.04,5.8,E,6299.0,1,10.77,0.78
ECO00325,5144.3,8.33,0.78,13.8,L,5144.3,1,10.75,0.27
ECO00326,5334.7,8.33,0.59,22.5,L,5334.7,1,10.82,0.96
ECO00327,6530.3,8.71,1.25,11.5,L,6480.1,0,12.98,3.73
ECO00328,3935.9,8.49,0.73,16.1,L,3935.9,1,10.79,0.37
ECO00329,5371.3,8.41,0.84,14.2,L,5371.3,1,10.76,0.94
ECO00330,4927.5,8.53,0.87,11.9,L,4927.5,1,10.76,0.48
ECO00331,5088.5,8.53,1.13,10.9,L,5088.5,1,10.76,0.24
ECO00332,5607.7,8.49,0.89,16.6,L,5607.7,1,10.89,0.29
ECO00333,3559.3,8.55,0.95,14.3,E,3559.3,1,10.75,1.49
ECO00334,4010.5,8.47,0.79,14.9,L,4010.5,1,10.76,0.52
ECO00335,5424.0,9.03,2.03,10.3,E,5424.0,1,10.78,1.54
ECO00336,6556.1,8.65,0.88,10.9,L,6505.1,0,11.14,1.1
ECO00337,5817.9,8.69,0.68,14.4,L,5914.7,0,12.48,2.55
ECO00338,4559.1,8.53,0.96,23.0,L,4559.1,1,10.77,0.75
ECO00339,6024.4,8.65,1.14,8.0,L,6024.4,1,10.78,0.49
ECO00340,6608.1,8.55,1.01,9.6,L,6608.1,1,10.77,0.23
ECO00341,4445.4,8.91,2.03,14.2,E,4452.6,0,12.53,1.27
ECO00342,6368.4,8.55,0.78,14.3,L,6368.4,1,10.78,0.64
ECO00343,6260.4,8.95,2.03,11.0,E,6452.7,0,13.65,2.37
ECO00344,3367.9,8.59,1.45,16.0,E,3367.9,1,10.78,1.49
ECO00345,5032.6,8.51,0.94,16.5,L,5032.6,1,10.78,0.88
ECO00346,6640.9,8.53,1.08,6.6,E,6640.9,1,10.77,0.2
ECO00347,3909.4,8.43,0.73,17.1,L,3816.2,0,11.6,0.88
ECO00348,5634.9,8.29,0.71,12.6,L,5672.9,0,11.52,1.26
